epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1264.73,1.71656,2.08261,1.33383,0.23909,0.59622,0.44789,0.24889,1.99386,2.2856,1.35529,0.000494885,0.000494885,0.000494885
43,1294.03,1.62692,1.95249,1.22488,0.32177,0.54794,0.46492,0.26847,1.99917,2.3612,1.3467,0.000486639,0.000486639,0.000486639
44,1323.23,1.64328,1.89781,1.25663,0.34728,0.60563,0.60084,0.35544,1.80935,2.21609,1.25527,0.000478392,0.000478392,0.000478392
45,1352.76,1.62552,1.88797,1.25089,0.79836,0.35116,0.59893,0.38515,1.8153,2.07846,1.2412,0.000470145,0.000470145,0.000470145
46,1381.92,1.66745,1.86836,1.25398,0.9322,0.39744,0.60912,0.38351,1.85394,2.06423,1.25213,0.000461898,0.000461898,0.000461898
47,1410.86,1.65834,1.82144,1.2574,0.82385,0.4733,0.57805,0.36345,1.78724,2.08438,1.22378,0.000453652,0.000453652,0.000453652
48,1440.15,1.6055,1.82745,1.2354,0.52966,0.4707,0.57507,0.3647,1.75777,2.02079,1.21288,0.000445405,0.000445405,0.000445405
49,1469.19,1.56848,1.83118,1.19195,0.59651,0.47379,0.58743,0.38777,1.60422,2.00606,1.14144,0.000437158,0.000437158,0.000437158
50,1498.27,1.62464,1.90295,1.25641,0.60855,0.48945,0.60073,0.39418,1.62252,2.0048,1.14148,0.000428912,0.000428912,0.000428912
51,1527.25,1.62647,1.85703,1.23203,0.61488,0.47724,0.59019,0.38232,1.75865,2.00775,1.17856,0.000420665,0.000420665,0.000420665
52,1556.47,1.54634,1.87166,1.17536,0.91556,0.42423,0.59538,0.366,1.98957,2.07128,1.28876,0.000412418,0.000412418,0.000412418
