epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
21,345.211,1.9177,2.28182,1.18108,0.5767,0.26995,0.29001,0.11617,1.94774,2.3594,1.18557,0.000802,0.000802,0.000802
22,361.714,1.9761,2.22642,1.21074,0.52332,0.24531,0.31074,0.13764,1.8691,2.33287,1.1722,0.0007921,0.0007921,0.0007921
23,378.517,1.92825,2.07393,1.18496,0.5153,0.24531,0.29412,0.11951,1.98634,2.39809,1.17819,0.0007822,0.0007822,0.0007822
24,394.839,1.92583,2.87144,1.22341,0.45994,0.27347,0.24601,0.0999,2.06381,2.37124,1.20607,0.0007723,0.0007723,0.0007723
25,411.041,1.73595,2.05036,1.14066,0.44194,0.29108,0.32504,0.15306,1.99163,2.28763,1.16285,0.0007624,0.0007624,0.0007624
26,427.457,1.96262,2.14042,1.22257,0.60171,0.20423,0.33201,0.16584,1.8962,2.20057,1.13921,0.0007525,0.0007525,0.0007525
27,444.065,1.95821,2.39899,1.19259,0.59674,0.19718,0.32558,0.15168,1.91833,2.23631,1.16471,0.0007426,0.0007426,0.0007426
28,460.468,1.91574,2.1326,1.19082,0.67976,0.16197,0.38051,0.1581,1.97611,2.22506,1.20483,0.0007327,0.0007327,0.0007327
29,476.71,1.88932,1.90495,1.21472,0.44735,0.42664,0.36971,0.17312,2.04292,2.41463,1.25592,0.0007228,0.0007228,0.0007228
30,493.025,1.92366,1.93587,1.18082,0.38865,0.43016,0.37645,0.18961,1.9755,2.67722,1.20552,0.0007129,0.0007129,0.0007129
31,509.792,1.85363,1.95736,1.18344,0.34126,0.4196,0.37165,0.21036,1.89571,2.51635,1.17114,0.000703,0.000703,0.000703
32,526.253,1.87604,1.93329,1.13768,0.3948,0.39143,0.35937,0.18743,1.91507,2.35193,1.17263,0.0006931,0.0006931,0.0006931
33,542.734,1.88882,1.86886,1.10267,0.43921,0.34839,0.35679,0.16887,1.9156,2.27835,1.19764,0.0006832,0.0006832,0.0006832
34,559.23,1.86955,2.04649,1.13747,0.44653,0.33157,0.36596,0.1657,1.93731,2.23141,1.18466,0.0006733,0.0006733,0.0006733
35,575.644,1.92801,1.93408,1.17231,0.4373,0.33284,0.35139,0.15855,2.04641,2.18311,1.22199,0.0006634,0.0006634,0.0006634
36,591.976,1.88916,2.18622,1.15274,0.41461,0.36758,0.34917,0.1421,2.12661,2.21341,1.22999,0.0006535,0.0006535,0.0006535
37,608.516,1.97938,1.8942,1.16261,0.43452,0.39461,0.35804,0.16179,1.97053,2.19173,1.17346,0.0006436,0.0006436,0.0006436
38,625.008,1.80673,2.24678,1.09372,0.29469,0.40904,0.3127,0.15598,1.85939,2.22394,1.14063,0.0006337,0.0006337,0.0006337
39,641.365,1.86044,1.82321,1.12495,0.14499,0.22148,0.23042,0.12088,1.77215,2.19924,1.11771,0.0006238,0.0006238,0.0006238
40,657.829,1.8451,1.76904,1.13475,0.38675,0.20771,0.23194,0.12217,1.79099,2.19382,1.1221,0.0006139,0.0006139,0.0006139
41,674.593,1.89843,1.71174,1.13255,0.37866,0.18686,0.22767,0.11455,1.90484,2.23218,1.16097,0.000604,0.000604,0.000604
42,690.961,1.82957,1.76552,1.13146,0.61645,0.17958,0.22476,0.1119,2.04582,2.26063,1.20991,0.0005941,0.0005941,0.0005941
43,707.119,1.86783,2.28502,1.15579,0.68332,0.15845,0.23229,0.10398,2.08141,2.20366,1.22865,0.0005842,0.0005842,0.0005842
44,723.341,1.87096,2.03825,1.23579,0.69799,0.16087,0.23565,0.10917,2.00469,2.14479,1.20508,0.0005743,0.0005743,0.0005743
45,739.84,1.90421,1.8953,1.17537,0.68574,0.16284,0.24095,0.11905,1.87941,2.13064,1.15131,0.0005644,0.0005644,0.0005644
46,756.283,1.94831,1.93563,1.18978,0.68945,0.17606,0.24623,0.12227,1.84255,2.01169,1.13724,0.0005545,0.0005545,0.0005545
47,772.907,1.91779,1.72052,1.13412,0.68822,0.17958,0.23036,0.10903,1.83438,1.94415,1.13415,0.0005446,0.0005446,0.0005446
48,789.107,1.83466,1.72431,1.16664,0.69371,0.17606,0.24289,0.11866,1.87553,2.00242,1.15053,0.0005347,0.0005347,0.0005347
49,805.207,1.78362,1.75467,1.13991,0.69518,0.16901,0.21659,0.09299,1.95511,2.10239,1.16886,0.0005248,0.0005248,0.0005248
50,821.676,1.75307,8.15433,1.07792,0.68535,0.1831,0.21304,0.08967,1.98861,2.04317,1.17574,0.0005149,0.0005149,0.0005149
51,837.923,1.81824,1.67421,1.16388,0.67612,0.17958,0.19753,0.08203,1.97996,2.06862,1.17179,0.000505,0.000505,0.000505
