epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.0297,2.32738,4.78572,1.50915,0,0,0,0,1.65315,4.7971,1.21353,7e-05,7e-05,7e-05
2,33.1629,1.99779,4.93204,1.33839,0.00084,0.00704,0.00248,0.0011,1.69541,4.63509,1.11369,0.000148515,0.000148515,0.000148515
3,49.5146,2.15063,4.45325,1.25981,0.00135,0.09038,0.00576,0.00385,1.72157,4.51829,1.08033,0.000225446,0.000225446,0.000225446
4,65.8951,2.08087,3.74822,1.23599,0.00361,0.22946,0.01687,0.01015,1.96417,4.33708,1.12305,0.000300793,0.000300793,0.000300793
5,82.2989,2.16602,3.10693,1.21759,0.01166,0.3034,0.07807,0.04798,1.90366,4.00406,1.0912,0.000374556,0.000374556,0.000374556
6,98.5653,2.08522,3.00294,1.2373,0.01585,0.36678,0.13974,0.08886,1.91542,3.72298,1.11425,0.000446735,0.000446735,0.000446735
7,115.248,2.19538,2.95063,1.25836,0.01256,0.527,0.17681,0.08823,1.97159,3.51275,1.11905,0.00051733,0.00051733,0.00051733
8,131.986,2.19309,2.60292,1.22984,0.01042,0.53756,0.15736,0.08263,1.87609,3.30841,1.09953,0.000586341,0.000586341,0.000586341
9,148.15,2.06496,2.83312,1.2069,0.95834,0.07044,0.16283,0.07935,1.90962,2.97386,1.1287,0.000653768,0.000653768,0.000653768
10,164.556,2.14074,2.96302,1.30505,0.97555,0.05986,0.1628,0.07318,2.02616,3.03684,1.18159,0.000719611,0.000719611,0.000719611
11,180.901,2.06742,2.61287,1.23856,0.95826,0.05634,0.1264,0.04943,2.06908,3.09006,1.21704,0.00078387,0.00078387,0.00078387
12,197.534,2.05863,2.50068,1.24921,0.90795,0.08803,0.12685,0.04834,2.03132,2.93045,1.227,0.000846545,0.000846545,0.000846545
13,213.809,2.03651,2.5215,1.22806,0.9035,0.11972,0.14011,0.0547,2.02625,2.66344,1.18896,0.0008812,0.0008812,0.0008812
14,230.069,1.97851,2.64133,1.2035,0.64845,0.11972,0.15261,0.0669,2.0217,2.59182,1.23258,0.0008713,0.0008713,0.0008713
15,246.474,1.98752,2.82742,1.2087,0.70643,0.10013,0.1783,0.08244,1.87153,2.76306,1.20154,0.0008614,0.0008614,0.0008614
16,262.954,2.01379,2.49316,1.19464,0.43756,0.07404,0.16896,0.07585,1.8574,2.76401,1.18088,0.0008515,0.0008515,0.0008515
17,279.346,1.93723,2.59838,1.19436,0.42554,0.11622,0.16567,0.07155,1.93327,2.71523,1.22763,0.0008416,0.0008416,0.0008416
18,295.696,1.9597,2.45208,1.23266,0.42932,0.12507,0.20442,0.07195,2.11733,2.62569,1.29199,0.0008317,0.0008317,0.0008317
19,312.193,1.96884,2.30179,1.20575,0.6557,0.14437,0.21953,0.0716,2.15608,2.51493,1.26441,0.0008218,0.0008218,0.0008218
20,328.685,2.02852,2.40092,1.21265,0.65838,0.13732,0.2318,0.094,2.03414,2.41889,1.1914,0.0008119,0.0008119,0.0008119
